"ts","userid","sessionid","remote_ip","platform","sdk_ver","debug_device","user_agent","submit_time","name","custom_params__latitude","custom_params__time","custom_params__longitude","appid","type"
"1516691554796","c092d6dc9e0b24eb194d284ab724b7e9","4738098434744064876","157.50.52.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/23/2018 02:01:44","gameStart","13.04804","1.516689995843E9","80.10883","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516693452255","b4557e363e3ad484a969a223f75e0821","1843479188839160462","42.107.175.153","AndroidPlayer","u5.6.3p4","False","Dalvik/1.6.0 (Linux; U; Android 4.4.4; Lenovo A6000 Build/KTU84P)","01/23/2018 03:01:42","gameStart","13.04785","1.51669343246E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516693717508","b4557e363e3ad484a969a223f75e0821","1843479188839160462","42.107.175.153","AndroidPlayer","u5.6.3p4","False","Dalvik/1.6.0 (Linux; U; Android 4.4.4; Lenovo A6000 Build/KTU84P)","01/23/2018 03:01:28","gameStart","21.92","1.5166938179E9","82.78","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516710949466","c092d6dc9e0b24eb194d284ab724b7e9","8643681834082010836","157.50.10.27","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 6.0; BLN-L22 Build/HONORBLN-L22)","01/23/2018 07:01:00","gameStart","13.04802","1.516710902658E9","80.10814","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516711594557","947fa34513595426a8b0f2600a176f10","8369300178332924459","117.193.34.130","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.1; CUN-L22 Build/HUAWEICUN-L22)","01/23/2018 07:01:90","gameStart","13.12075","1.516711593743E9","80.22068","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682588000","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682477182E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682729782","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682707859E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682688939","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682668344E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682729782","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682707859E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516682588000","634dc2c4a91ad49dfb9a4538bbee429d","2863045627044664532","183.82.38.44","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:53","gameStart","13.04785","1.516682477182E9","80.10776","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
